-100	9.623
-75	9.596
-50	9.651
-25	9.832
0	10.112
25	10.415
50	10.641
75	10.768
100	10.714
125	10.556
150	10.373
175	10.192
200	10.090
225	10.065
250	10.116
275	10.140
300	10.037
325	9.836
350	9.590
375	9.404
400	9.298
425	9.270
450	9.269
475	9.237
500	9.215
525	9.148
550	9.179
575	9.300
600	9.425
625	9.470
650	9.394
675	9.281
700	9.224
725	9.292
750	9.537
775	9.827
800	10.031
825	10.180
850	10.263
875	10.337
900	10.339
925	10.291
950	10.141
975	9.985
1000	9.855
1025	9.777
1050	9.750
1075	9.732
1100	9.678
1125	9.593
1150	9.489
1175	9.318
1200	9.157
1225	9.118
1250	9.176
1275	9.254
1300	9.307
1325	9.292
1350	9.312
1375	9.414
1400	9.570
1425	9.651
1450	9.574
1475	9.444
1500	9.299
1525	9.236
1550	9.196
1575	9.170
1600	9.108
1625	9.002
1650	8.884
1675	8.800
1700	8.738
1725	8.755
1750	8.752
1775	8.650
1800	8.517
1825	8.417
1850	8.355
1875	8.297
1900	8.197
2000	8.197
